Timestamp, LeftSensor (cm), RightSensor (cm)
6/9/2018 17:19:48,99,97
6/9/2018 17:19:59,99,97
6/9/2018 17:20:09,99,97
6/9/2018 17:20:19,99,97
6/9/2018 17:20:29,100,98
6/9/2018 17:20:39,100,98
6/9/2018 17:20:49,99,98
6/9/2018 17:20:59,100,98
6/9/2018 17:21:09,99,98
6/9/2018 17:21:19,99,98
6/9/2018 17:21:29,99,98
6/9/2018 17:21:39,99,98
6/9/2018 17:21:49,99,98
6/9/2018 17:21:59,99,98
6/9/2018 17:22:09,99,97
6/9/2018 17:22:19,99,98
6/9/2018 17:22:29,99,98
6/9/2018 17:22:39,99,98
6/9/2018 17:22:49,99,97
6/9/2018 17:22:59,99,97
6/9/2018 17:23:09,100,98
6/9/2018 17:23:19,99,97
6/9/2018 17:23:29,99,98
6/9/2018 17:23:39,99,98
6/9/2018 17:23:49,99,97
6/9/2018 17:23:59,99,97
6/9/2018 17:24:09,99,97
6/9/2018 17:24:20,99,97
6/9/2018 17:24:30,99,97
6/9/2018 17:24:40,99,97
6/9/2018 17:24:50,99,97
6/9/2018 17:25:00,99,97
6/9/2018 17:25:10,99,97
6/9/2018 17:25:20,99,97
6/9/2018 17:25:30,99,97
6/9/2018 17:25:40,99,97
6/9/2018 17:25:50,99,97
6/9/2018 17:26:00,100,98
6/9/2018 17:26:10,99,98
6/9/2018 17:26:20,99,98
6/9/2018 17:26:30,99,98
6/9/2018 17:26:40,99,97
6/9/2018 17:26:50,100,98
6/9/2018 17:27:00,99,97
6/9/2018 17:27:10,99,97
6/9/2018 17:27:20,99,98
6/9/2018 17:27:30,99,98
6/9/2018 17:27:40,99,98
6/9/2018 17:27:50,99,98
6/9/2018 17:28:00,99,97
6/9/2018 17:28:10,99,98
6/9/2018 17:28:20,99,98
6/9/2018 17:28:31,99,97
6/9/2018 17:28:41,99,98
6/9/2018 17:28:51,99,98
6/9/2018 17:29:01,99,98
6/9/2018 17:29:11,99,98
6/9/2018 17:29:21,99,97
6/9/2018 17:29:31,99,97
6/9/2018 17:29:41,99,98
6/9/2018 17:29:51,99,98
6/9/2018 17:30:01,99,97
6/9/2018 17:30:11,99,97
6/9/2018 17:30:21,100,97
6/9/2018 17:30:31,100,97
6/9/2018 17:30:41,99,97
6/9/2018 17:30:51,100,97
6/9/2018 17:31:01,99,98
6/9/2018 17:31:11,99,98
6/9/2018 17:31:21,99,98
6/9/2018 17:31:31,99,98
6/9/2018 17:31:41,100,98
6/9/2018 17:31:51,99,97
6/9/2018 17:32:01,99,97
6/9/2018 17:32:11,100,97
6/9/2018 17:32:21,99,97
6/9/2018 17:32:31,99,98
6/9/2018 17:32:41,99,98
6/9/2018 17:32:52,99,98
6/9/2018 17:33:02,100,97
6/9/2018 17:33:12,99,98
6/9/2018 17:33:22,99,98
